Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
249101;03_Bordeaux_S1.jpg;583;1307;442;p17;color;Enghein-Quinconces
249684;03_Bordeaux_S1.jpg;233;1226;592;p17;color;Enghein-Quinconces
249917;03_Bordeaux_S1.jpg;183;1166;658;p17;color;Origin
250101;03_Bordeaux_S1.jpg;383;1314;457;p17;color;Enghein-Quinconces
250701;03_Bordeaux_S1.jpg;100;1346;547;p17;color;Enghein-Quinconces
250800;03_Bordeaux_S1.jpg;483;1316;436;p17;color;Enghein-Quinconces
251283;03_Bordeaux_S1.jpg;217;1155;649;p17;color;Origin
251500;03_Bordeaux_S1.jpg;333;1146;707;p17;color;Origin
251833;03_Bordeaux_S1.jpg;250;1468;990;p17;color;Destination
252083;03_Bordeaux_S1.jpg;516;1526;1092;p17;color;Destination
241967;03_Bordeaux_S1.jpg;133;1028;709;p20;color
242234;03_Bordeaux_S1.jpg;100;1158;732;p20;color;Origin
242484;03_Bordeaux_S1.jpg;150;1519;1049;p20;color;Destination
242633;03_Bordeaux_S1.jpg;566;1162;703;p20;color;Origin
243200;03_Bordeaux_S1.jpg;300;1141;792;p20;color;Hotel_de_Ville-Place_du_Palais
243499;03_Bordeaux_S1.jpg;283;1164;693;p20;color;Origin
243783;03_Bordeaux_S1.jpg;216;759;689;p20;color
243999;03_Bordeaux_S1.jpg;383;755;636;p20;color
244382;03_Bordeaux_S1.jpg;200;1133;887;p20;color
244582;03_Bordeaux_S1.jpg;183;1169;875;p20;color
244765;03_Bordeaux_S1.jpg;183;1227;876;p20;color
244949;03_Bordeaux_S1.jpg;166;1231;1130;p20;color
245115;03_Bordeaux_S1.jpg;100;1043;978;p20;color
245215;03_Bordeaux_S1.jpg;117;1167;1118;p20;color
245332;03_Bordeaux_S1.jpg;500;1532;1076;p20;color;Destination
245831;03_Bordeaux_S1.jpg;233;1482;1033;p20;color;Destination
246065;03_Bordeaux_S1.jpg;216;1253;807;p20;color;Hotel_de_Ville-Place_du_Palais
246281;03_Bordeaux_S1.jpg;183;1143;785;p20;color;Hotel_de_Ville-Place_du_Palais
246614;03_Bordeaux_S1.jpg;16;1368;874;p20;color
246830;03_Bordeaux_S1.jpg;266;1134;696;p20;color;Origin
247097;03_Bordeaux_S1.jpg;417;1133;789;p20;color;Hotel_de_Ville-Place_du_Palais
247513;03_Bordeaux_S1.jpg;183;1415;837;p20;color;Porte_de_Bourgogne-Stalingrad
247697;03_Bordeaux_S1.jpg;266;1135;786;p20;color;Hotel_de_Ville-Place_du_Palais
247963;03_Bordeaux_S1.jpg;450;1136;706;p20;color;Origin
248413;03_Bordeaux_S1.jpg;333;1132;797;p20;color;Hotel_de_Ville-Place_du_Palais
